Timestamp,Species,Tree Age (years),Temperature (°C),Humidity (%),Soil Nutrients (%),Rainfall (mm),Cloudiness Index,Watering Frequency (times/week),Tree Height (m),Trunk Diameter (m),Foliage Diameter (m),Weather Condition,Carbon Sequestration (kg CO₂/15 min),Oxygen Release (kg O₂/15 min)
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-1,44,17.695012333800776,57.01368136894874,8.171628790015486,4.446247747737697,3,6,5.409303049687201,0.24448226207009527,13.260165114730883,Rainy,6.620440185399695,4.634308129779786
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-1,68,23.51458632224616,50.6101399308788,9.391627971096732,6.096349960098801,2,3,29.890871113281726,0.8947584374894472,13.566047932574072,Monsoon,3.3029271031395373,2.312048972197676
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-1,99,33.367671331008964,31.791069219039137,5.097999654469375,5.0868134734815165,1,1,12.266206748402894,1.8966787599904404,5.4940378229441444,Summer,8.268932792498475,5.788252954748932
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-1,83,31.27848248224976,76.97642093110045,2.103419498843487,14.807236503899885,3,6,9.732105221018369,1.2672523362148227,1.565055399533169,Winter,6.456156427756762,4.519309499429733
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-2,7,17.470811218189397,70.42001481694825,4.035068767896803,7.766424835886843,2,3,4.747329087510554,0.7757752100179174,8.221296723635152,Rainy,5.397720316176793,3.7784042213237545
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-2,49,18.54755959591803,67.48818142151723,3.059896585897441,25.15923461592575,5,6,24.870516275727695,0.7948220589595593,10.147136581622293,Monsoon,9.929873329219468,6.950911330453628
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-2,2,22.358047996540524,75.24348531233544,2.6347625080243295,16.035066007664238,3,1,22.73470498584677,1.915511853173184,2.597869174528531,Summer,8.42370071623074,5.896590501361518
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-2,19,35.95883306892672,65.66678100942826,5.255120737909231,40.03851506160703,5,5,13.878736047323722,0.7418108520258133,11.51997694591964,Winter,4.833831552079138,3.3836820864553965
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-3,39,21.372966436926713,77.83769650865109,5.659537296280897,44.398679870976935,2,3,19.988583705543675,1.4032934413297362,2.066900472614747,Rainy,2.361349573247833,1.652944701273483
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-3,1,33.80884095811372,31.290466579001507,6.093572453769005,24.460325878117207,2,3,14.668265987645633,0.7821726833183246,11.294470933283254,Monsoon,1.9653690046961545,1.375758303287308
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-3,82,30.535476086549924,43.49851882786916,3.013568442167424,18.477092736621657,3,1,28.132520818640522,0.5370804826382758,3.618059116753243,Summer,7.220859055373124,5.054601338761186
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-3,70,22.81254899330815,53.473522777189764,8.512192871485892,17.89071193809484,5,5,2.7073445521185415,0.2863210252298558,14.392730138539669,Winter,2.2005254939616563,1.5403678457731593
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-4,90,31.086455270392822,51.20451143412448,4.456735511740833,4.306211081293121,1,6,28.463987077879313,0.5914934224495171,10.323678462376753,Rainy,5.29368256017012,3.7055777921190836
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-4,5,23.300210606940258,20.652989398054697,2.4003977555826843,42.614963821119986,3,1,7.637503444545498,0.7359577182886547,11.757590144964329,Monsoon,2.8972256845879327,2.0280579792115527
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-4,63,20.79081757945782,55.673658101108,2.5159805103697037,30.164612389556346,1,5,6.164423271547588,0.2422201035264419,13.591993637388386,Summer,8.173966012857097,5.721776208999968
2024-02-19 00:00:00,Tectona Grandis (Teak) Type-4,1,26.311692852267306,74.10050205408601,4.116613584193327,36.28223865127187,4,2,11.491871502218398,1.6046185333586884,12.221922214945309,Winter,8.582575613452068,6.007802929416448
